(2470,27.20002108222066)
(4037,24.650021082220658)
(2237,22.100021082220657)
(1186,20.400021082220658)
(6774,17.00002108222066)
(665,16.150039002108223)
(2285,14.45002108222066)
(8293,13.812539002108224)
(4261,12.75002108222066)
(15,11.900021082220661)
(2654,11.050039002108223)
(214,11.05002108222066)
(4191,10.20002108222066)
(2643,8.500039002108222)
(28,8.500039002108222)
(5423,8.457556921995783)
(4875,7.6500390021082225)
(7131,7.65002108222066)
(4247,7.65002108222066)
(1855,7.65002108222066)
