# Directed graph (random generate by GraphX RandomGenerator): sssp_data.txt 
# KylinChen, www.kylinchen.top, 2019
# Nodes: 10 
# FromNodeId	ToNodeId
0 3
0 3
0 3
0 5
0 6
0 7
0 7
0 7
1 0
1 4
1 5
1 5
1 5
1 8
1 9
1 9
2 0
2 1
2 1
2 2
2 3
2 7
3 4
3 4
3 6
3 7
3 7
3 8
3 8
3 9
3 9
4 1
4 1
4 1
4 4
4 6
5 0
5 0
5 0
5 1
5 2
5 5
5 7
5 8
5 9
6 1
6 3
6 4
6 4
6 5
6 5
6 5
6 6
7 0
7 3
7 3
8 3
8 5
8 6
8 8
8 8
8 9
9 0
9 0
9 1
9 2
9 3
9 5
9 6
9 9
